milepost,loco_force_kN,air_force_kN,total_force_kN
267.65,3625.3217235163575,24954.056147898846,28579.377871415203
268.15,8586.932604085492,9090.296687115959,17677.229291201453
268.65,8794.16245599742,22467.485513380845,31261.647969378268
269.15,4775.643840631093,33783.85693426247,38559.50077489356
269.65,6481.461555939752,36067.0727824507,42548.53433839045
270.15,7309.502059475671,32767.73511023308,40077.23716970875
270.65,6553.823808365267,15246.189150988395,21800.012959353662
271.15,6694.220802971017,1279.2415128089392,7973.462315779956
271.65,4710.304415952371,401.6456317537976,5111.950047706168
272.15,5086.683428089684,0.007110395052076958,5086.690538484736
272.65,4868.459311919643,0.0,4868.459311919643
273.15,7356.8995333379,84.75433009838534,7441.653863436285
273.65,8211.019447712839,7792.178085011204,16003.197532724043
274.15,9180.649106286748,9974.993446998253,19155.642553285
274.65,7909.616089734989,12851.863067188027,20761.479156923015
275.15,18778.012566171798,15483.037475326742,34261.05004149854
275.65,9667.143675684527,13847.480519574947,23514.624195259472
276.15,12460.515438209652,10054.424050329806,22514.939488539458
276.65,9668.752211117484,6206.378814130544,15875.131025248029
277.15,7207.208837039571,3952.5652278411394,11159.77406488071
277.65,6682.4442715010355,2960.4752625932924,9642.919534094328
278.15,4520.494812954352,11023.97954648925,15544.474359443602
278.65,5816.2376524435795,16377.36835898738,22193.60601143096
279.15,4767.443426969277,13287.934096367117,18055.377523336392
279.65,6190.550712248045,6783.641631081522,12974.192343329567
280.15,3373.031630625158,3066.6228950004547,6439.654525625612
280.65,6088.7947332353015,372.78814018199574,6461.582873417297
281.15,6134.477469214766,355.35074945396957,6489.828218668736
281.65,6733.879797318672,355.35009291369755,7089.229890232369
282.15,4384.360218216084,0.0,4384.360218216084
282.65,6017.343126808389,1015.6962309094059,7033.039357717795
283.15,5454.425709795078,1360.0973079770054,6814.523017772083
283.65,5978.044541215117,7504.913322752725,13482.957863967842
284.15,5583.295622429236,16607.769780587238,22191.065403016473
284.65,5048.975976823604,25008.322545572235,30057.29852239584
285.15,3749.671354422533,27738.81460190397,31488.485956326505
285.65,5142.074925863133,20704.927531256268,25847.0024571194
286.15,3506.5405636891055,6429.063776915314,9935.60434060442
286.65,4378.105030099938,8.457967669617958,4386.562997769555
287.15,3937.916715750091,0.0,3937.916715750091
287.65,3743.9551536963686,0.0,3743.9551536963686
288.15,2926.2856183157764,3.4120917323488777,2929.6977100481254
288.65,3500.5586650821197,299.22269508714993,3799.7813601692696
289.15,3545.4152070989035,1047.156522106844,4592.571729205747
289.65,4423.504153183501,1427.25203640766,5850.756189591161
290.15,4296.756293221828,1797.3395767463487,6094.095869968177
290.65,4233.963099496916,1108.9888819380606,5342.951981434976
291.15,4804.687127473517,267.9575740455694,5072.644701519086
291.65,5148.672018866632,393.45759767115413,5542.129616537786
292.15,5844.946730769816,798.0645272792101,6643.011258049026
292.65,5744.836474680711,612.449666043072,6357.286140723783
293.15,5536.619097255258,86.77365879904512,5623.3927560543025
293.65,4959.942725379101,78.32313418480113,5038.265859563902
294.15,6593.168481901128,1989.7507339872602,8582.919215888389
294.65,6956.827236446329,5297.549227577121,12254.376464023451
295.15,6046.140349928933,5055.5024695305965,11101.642819459528
295.65,2400.4881136222393,1719.081579945801,4119.569693568041
296.15,5076.465464773091,736.7303304423391,5813.195795215431
296.65,6901.232651002834,916.2526953598059,7817.4853463626405
297.15,4368.983511080427,1184.6677731847853,5553.651284265212
297.65,4225.783642206429,2823.0254160700456,7048.809058276474
298.15,6329.971222210768,3510.3981583141285,9840.369380524897
298.65,6123.175912278224,2053.902298227076,8177.0782105053
299.15,5745.520322265316,211.17618995613438,5956.696512221451
299.65,5329.763591208464,0.0,5329.763591208464
300.15,2912.982936130684,496.76584903314847,3409.7487851638325
300.65,5245.05302155718,6780.73570600333,12025.78872756051
301.15,2210.7184112517116,12965.753650534312,15176.472061786024
301.65,4352.165594345372,12808.915384081314,17161.080978426686
302.15,4016.0370876742486,10256.504035764496,14272.541123438745
302.65,4434.690919901603,4115.152825830395,8549.843745731998
303.15,4243.004697699831,693.3335699013729,4936.338267601204
303.65,3406.6514214819904,0.0,3406.6514214819904
304.15,3701.7350450152744,0.0,3701.7350450152744
304.65,4200.822593046288,0.0,4200.822593046288
305.15,3828.979992531318,0.0,3828.979992531318
305.65,3739.6158287006683,0.0,3739.6158287006683
306.15,3515.256696887266,45.39794158462339,3560.6546384718895
306.65,4204.335281563345,54.810027782657635,4259.145309346003
307.15,4390.925069826896,9.453829137579962,4400.378898964476
