milepost,peak_loco_kN,peak_air_kN,total_peak_kN
188.92500000000274,994.0181798025781,787.5427458427149,1781.560925645293
188.97500000000275,950.3641214254623,811.8395731311132,1762.2036945565756
189.02500000000276,909.4681192121755,844.6833219173091,1754.1514411294845
189.07500000000277,908.5915543257645,865.472159279381,1774.0637136051455
189.12500000000279,955.0927135925283,882.4125209764534,1837.5052345689817
189.1750000000028,1022.6911183646398,906.3375567127551,1929.0286750773948
189.2250000000028,1067.8993638836466,935.1041727811702,2003.0035366648167
189.27500000000282,1061.4196850100088,958.0555972062187,2019.4752822162277
189.32500000000283,1006.082866273296,969.8802428023744,1975.9631090756702
189.37500000000284,937.2696905906076,973.91079481982,1911.1804854104275
189.42500000000285,903.8471512559258,975.030244361324,1878.87739561725
189.47500000000286,927.2374539904079,975.5173266990788,1902.7547806894868
189.52500000000288,977.8882503705976,975.828305454567,1953.7165558251645
189.5750000000029,1002.2490966367478,975.9830347683095,1978.2321314050573
189.6250000000029,977.6627526631302,976.0663010644046,1953.7290537275348
189.6750000000029,937.365086493331,976.4496334740805,1913.8147199674115
189.72500000000292,930.3054648508303,979.2041124820043,1909.5095773328346
189.77500000000293,957.2007819108802,992.2472897174852,1949.4480716283654
189.82500000000294,970.2939505845244,1031.8685801498746,2002.1625307343988
189.87500000000296,936.5310175401266,1109.0403162755538,2045.5713338156804
189.92500000000297,877.1613542704018,1205.4161516550043,2082.577505925406
189.97500000000298,843.7366821347737,1282.5878877806836,2126.3245699154572
190.025000000003,865.0782927379744,1322.209178213073,2187.2874709510475
190.075000000003,921.1839441558634,1335.2522291913162,2256.4361733471796
190.125000000003,968.7272050022063,1338.0052531924596,2306.732458194666
190.17500000000302,984.2484582184126,1338.3778344754116,2322.6262926938243
190.22500000000304,975.8617556421693,1338.4101649664142,2314.2719206085835
190.27500000000305,964.3604443382733,1338.4101649664142,2302.7706093046872
190.32500000000306,960.7290323522261,1338.4101649664142,2299.13919731864
190.37500000000307,959.2946096953509,1338.4101649664142,2297.704774661765
190.42500000000308,951.5410745628044,1338.4101649664142,2289.9512395292186
190.4750000000031,939.2337712033569,1338.4101649664142,2277.643936169771
190.5250000000031,930.6047011724689,1338.4101649664142,2269.014866138883
190.57500000000312,929.8510634808181,1338.4101649664142,2268.2612284472325
190.62500000000313,933.0095405342463,1338.4101649664142,2271.4197055006607
190.67500000000314,929.7043200437237,1338.4101649664142,2268.1144850101377
190.72500000000315,907.6157724621826,1338.4101649664142,2246.025937428597
190.77500000000316,865.3276825709063,1338.3608814359202,2203.6885640068267
190.82500000000317,826.4096388663472,1337.792930858914,2164.202569725261
190.87500000000318,821.9804008501432,1333.5963121839948,2155.576713034138
190.9250000000032,851.4162771239273,1313.713916937718,2165.1301940616454
190.9750000000032,884.4697315843359,1253.3165330849408,2137.7862646692765
191.02500000000322,899.4603904917035,1135.6784925642405,2035.138883055944
191.07500000000323,896.0191755409933,988.7663587083899,1884.785534249383
191.12500000000324,883.614413002685,871.1283181876896,1754.7427311903746
191.17500000000325,874.7882020017712,810.726351173536,1685.5145531753074
191.22500000000326,877.9475268459363,790.7911389086306,1668.738665754567
191.27500000000327,888.9746311730007,786.2042523200857,1675.1788834930865
191.32500000000329,895.7129478018406,783.7873224786497,1679.5002702804904
191.3750000000033,892.107646381734,778.1213358806265,1670.2289822623604
191.4250000000033,884.3275610338853,767.1621766606175,1651.4897376945028
191.47500000000332,880.564064873194,753.2864024560855,1633.8504673292796
191.52500000000333,879.4315912793106,740.8058777872614,1620.237469066572
191.57500000000334,873.9052515770879,728.1756986501501,1602.0809502272382
191.62500000000335,861.7989547256608,706.4129235193407,1568.2118782450016
191.67500000000337,847.5559101899671,671.8271873753694,1519.3830975653364
191.72500000000338,835.4413821128411,639.7875519101535,1475.2289340229945
191.7750000000034,824.3876578823509,633.2456242309701,1457.633282113321
191.8250000000034,811.6304049409468,658.6541911176595,1470.2845960586064
191.8750000000034,797.754049814555,710.0013127254018,1507.7553625399569
191.92500000000342,784.5218869133115,792.1111044798861,1576.6329913931977
191.97500000000343,772.1645819786135,914.8495392447934,1687.0141212234068
192.02500000000344,761.6970056030387,1056.3927525123524,1818.0897581153913
192.07500000000346,754.57843226867,1167.3451899343045,1921.9236222029745
192.12500000000347,748.9314115148561,1224.2499109555422,1973.1813224703983
192.17500000000348,741.744741589457,1244.8961948282517,1986.6409364177089
192.2250000000035,733.7944659460594,1258.455419047838,1992.2498849938975
192.2750000000035,727.9519516975159,1288.3006578962654,2016.2526095937815
192.3250000000035,725.191326460576,1345.8369409296959,2071.028267390272
192.37500000000352,723.9511397163919,1419.5034608313292,2143.4546005477214
