dist_bin,dist_nb_nb,res_grade_newtons_nb,res_curve_newtons_nb,res_total_nb,te_newtons_nb,dist_nb_sb,res_grade_newtons_sb,res_curve_newtons_sb,res_total_sb,te_newtons_sb
53930.0,53938.968171983615,-62441.76322529438,4587.852451065213,100991.75898912652,190522.71304846145,53936.43901172534,66562.58886277472,2789.185904386669,228197.4445305171,317728.39858985203
53950.0,53957.743851983614,-62146.60623388999,4788.498725387152,101487.56225485285,191018.5163141878,53955.21469172534,66169.04620756897,3149.7495783391346,228164.4655492638,317695.4196085987
53970.0,53976.51953198361,-61851.44924248595,4981.794325500419,101976.01484637016,191506.9689057051,53973.99037172534,65761.50295554506,3498.4504832583752,225553.3215223425,339650.6665237908
53990.0,53995.07169198361,-61556.292251081744,5154.1769146347215,102443.55442690867,-360092.1835990013,53992.65441937126,65136.2229964262,3676.998099958186,222579.08682582004,343758.3059011698
54010.0,54013.40033198361,-61326.27550313804,5355.233370967313,97794.82359726494,185194.08827423476,54011.09494701718,64811.97753402865,3685.715859113318,222263.55912257763,309662.82379954745
54060.0,54068.38625198361,-59691.93028642509,5760.014693610772,99833.95013662134,187233.21481359116,54066.08086701718,63947.58920205381,3591.311967010928,221304.76689850038,308704.0315754702
54080.0,54086.71489198361,-59019.62825044814,5890.430261995469,100636.66774098299,188035.93241795278,54084.40950701718,63659.459758065925,3571.122459126709,220996.4479466283,308395.7126235981
54100.0,54105.04353198361,-58347.32621447194,5993.475112175761,101412.01462713949,188811.2793041093,54102.73814701718,63371.33031407544,3754.813459150476,220892.0095026616,308291.27417963144
54120.0,54123.37217198361,-57675.02417849536,6144.604628573092,102235.4461795134,189634.7108564832,54121.06678701718,63083.20087008493,4126.280324824096,220975.3469243447,308374.6116013145
54170.0,54178.35809198361,-55658.11807056525,4882.419238750635,102990.16689762105,190389.43157459088,54176.05270701718,62218.81253811606,4738.882020473766,220723.56028802547,308122.8249649953
54190.0,54196.68673198361,-54985.816034588475,4365.445419637054,103145.49511448425,190544.75979145407,54194.38134701718,61930.68309412556,4931.6517655140815,220628.2005890753,308027.4652660451
54210.0,54215.01537198361,-54313.513998612085,3835.669559930863,103288.02129075445,190687.28596772425,54212.70998701718,61642.55365013507,5104.781344590477,220513.20072416123,307912.465401131
54230.0,54233.34401198361,-53641.211962634945,3302.1960681607848,103426.8498349615,190826.11451193134,54231.03862701718,61364.96055074518,5276.043173750953,220406.8694539318,307806.13413090166
54260.0,54269.77777198361,-52296.60789068067,2262.4288914267686,103731.68673018177,-369094.4881889764,54267.47238701718,60598.30414147254,5515.999272758811,214922.770026227,300190.34532083175
54280.0,54287.65937198361,-51776.654348575714,1996.2928254244896,99028.10508884444,184295.68038344916,54285.35398701718,59942.399716131,5720.553770993672,214471.42009912035,299738.99539372505
54300.0,54305.54097198361,-51771.77915039546,1683.3660389952593,98720.05350059547,183987.6287952002,54303.23558701718,59286.49529078947,5876.107551971557,213971.06945475668,299238.64474936144
54320.0,54323.42257198361,-51771.77915039546,1342.541614579368,98379.22907617957,183646.8043707843,54321.11718701718,58630.59086544868,6011.70131406326,213450.7587915076,298718.3340861123
54350.0,54359.18577198361,-51771.779150394905,675.8173369530379,97712.5047985538,182980.08009315853,54356.88038701718,57318.78201476078,6127.976877502557,212255.225504259,297522.80079886375
54370.0,54377.29089198361,-51771.77915039472,348.52026542039175,97385.20772702133,348025.26986991614,54374.761987017184,56654.67878410023,5661.657138158154,216082.20165169405,-369094.4881889764
54390.0,54395.61953198361,-51143.352314463365,65.19870530197306,102687.71212027429,190086.9767972441,54392.867107017184,55982.37674812253,5131.797263309456,214880.03974086765,302279.30441783747
54410.0,54413.94817198361,-50471.05027848474,52.42251983290535,103347.23797078384,190746.50264775366,54411.195747017184,55310.074712144466,4612.734723324864,213688.675164905,301087.9398418748
54460.0,54468.93409198361,-48454.14417055444,116.1009263750534,105427.82248525627,192827.0871622261,54466.18166701718,53293.16860421137,3026.6920136016465,210085.7263472487,297484.9910242185
54480.0,54487.26273198361,-47781.84213457767,186.34556051902553,106170.36915537702,193569.63383234682,54484.51030701718,52620.86656823368,2509.7181944880576,208896.45049215743,296295.7151691272
54500.0,54505.59137198361,-47109.54009860073,268.5205165046803,106924.84614733962,194324.11082430943,54502.83894701718,51948.56453225635,1992.744375374468,207707.1746370665,295106.4393140363
