time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
1559.0,1.0,24351.38352072646,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1560.0,1.0,24368.37104072646,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1561.0,1.0,24385.358560726458,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1562.0,1.0,24402.346080726456,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1563.0,1.0,24419.333600726455,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1564.0,1.0,24436.321120726454,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1565.0,1.0,24453.308640726453,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1566.0,1.0,24470.29616072645,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1567.0,1.0,24487.28368072645,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1568.0,1.0,24504.27120072645,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1569.0,1.0,24521.258720726448,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1570.0,1.0,24538.246240726447,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1571.0,1.0,24555.233760726445,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1572.0,1.0,24572.221280726444,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1573.0,1.0,24589.208800726443,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1574.0,1.0,24606.19632072644,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1575.0,1.0,24623.18384072644,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1576.0,1.0,24640.17136072644,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1577.0,1.0,24657.158880726438,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1578.0,1.0,24674.146400726437,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1579.0,1.0,24691.133920726435,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1580.0,1.0,24708.121440726434,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1581.0,1.0,24725.108960726433,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1582.0,1.0,24742.09648072643,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1583.0,1.0,24759.08400072643,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1584.0,1.0,24776.07152072643,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1585.0,1.0,24793.059040726428,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1586.0,1.0,24810.046560726427,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1587.0,1.0,24827.034080726426,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1588.0,1.0,24844.021600726424,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1589.0,1.0,24861.009120726423,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1590.0,1.0,24877.996640726422,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1591.0,1.0,24894.98416072642,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1592.0,1.0,24911.97168072642,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1593.0,1.0,24928.95920072642,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
1594.0,1.0,24945.946720726417,16.987520000000014,0.0,0.0,0.0,1006084.5210898916,100000.0,3611941.412180157,5696960.307901648,6377172.426293615,7780000.0,253750000.0
